sht,super high,red packaging,7.8,6.6,6.8,8,8,8
ht,high,blue packaging,7.6,6.5,6.7,7.8,7.7,7.8
mht,medium high,without special coding,7.5,6.4,6.6,7.5,7.4,7.5
mt,medium,black packaging,7.3,6.2,6.5,7.3,7.2,7.1
lt,low,green packaging,7.2,6.1,6.2,6.7,6.7,6.8
slt,super low,yellow packaging,7,6,6,6.5,6.6,6.5
